"RelativePath","Category","Ext","SizeBytes","SizeKB","Rows"
"experiments\hadoop\hdbscan\clusters\clusters_viz.png","cluster_output","png","250624","244.8",""
"experiments\hadoop\hdbscan\clusters\clusters.csv","cluster_output","csv","17819","17.4","115"
"experiments\hadoop\hdbscan\clusters\metrics.json","cluster_output","json","564","0.6",""
"experiments\hadoop\hdbscan\clusters\reduced_data.npy","cluster_output","npy","4728","4.6",""
"experiments\hadoop\hdbscan\clusters\run_config.json","cluster_output","json","936","0.9",""
"experiments\hadoop\hdbscan\clusters\tuning_log.json","cluster_output","json","3249","3.2",""
"experiments\hadoop\hdbscan\eval_W1_20260305_190752\cluster_eval.json","evaluation","json","5087","5",""
"experiments\hadoop\hdbscan\eval_W1_20260305_190752\eval_summary.json","evaluation","json","2811","2.7",""
"experiments\hadoop\hdbscan\eval_W1_20260305_190752\extraction_eval.json","evaluation","json","32294","31.5",""
"experiments\hadoop\hdbscan\eval_W2_20260309_182946\eval_summary.json","evaluation","json","2703","2.6",""
"experiments\hadoop\hdbscan\eval_W2_20260309_182946\extraction_eval.json","evaluation","json","51261","50.1",""
"experiments\hadoop\hdbscan\extraction\extraction_results.csv","extraction_output","csv","3221","3.1","11"
"experiments\hadoop\hdbscan\extraction\extraction_results.json","extraction_output","json","12456","12.2",""
"experiments\hadoop\hdbscan\extraction\run_config.json","extraction_output","json","939","0.9",""
"experiments\hadoop\kmeans\clusters\clusters_viz.png","cluster_output","png","229938","224.5",""
"experiments\hadoop\kmeans\clusters\clusters.csv","cluster_output","csv","17044","16.6","115"
"experiments\hadoop\kmeans\clusters\metrics.json","cluster_output","json","1012","1",""
"experiments\hadoop\kmeans\clusters\reduced_data.npy","cluster_output","npy","49808","48.6",""
"experiments\hadoop\kmeans\clusters\run_config.json","cluster_output","json","889","0.9",""
"experiments\hadoop\kmeans\clusters\tuning_log.json","cluster_output","json","1268","1.2",""
"experiments\hadoop\kmeans\eval_W1_20260305_191817\cluster_eval.json","evaluation","json","4803","4.7",""
"experiments\hadoop\kmeans\eval_W1_20260305_191817\eval_summary.json","evaluation","json","2852","2.8",""
"experiments\hadoop\kmeans\eval_W1_20260305_191817\extraction_eval.json","evaluation","json","20263","19.8",""
"experiments\hadoop\kmeans\eval_W2_20260309_183418\eval_summary.json","evaluation","json","2699","2.6",""
"experiments\hadoop\kmeans\eval_W2_20260309_183418\extraction_eval.json","evaluation","json","30657","29.9",""
"experiments\hadoop\kmeans\extraction\extraction_results.csv","extraction_output","csv","1978","1.9","6"
"experiments\hadoop\kmeans\extraction\extraction_results.json","extraction_output","json","7509","7.3",""
"experiments\hadoop\kmeans\extraction\run_config.json","extraction_output","json","892","0.9",""
"experiments\ldm\agglomerative\clusters\clusters_viz.png","cluster_output","png","224231","219",""
"experiments\ldm\agglomerative\clusters\clusters.csv","cluster_output","csv","6966","6.8","62"
"experiments\ldm\agglomerative\clusters\metrics.json","cluster_output","json","682","0.7",""
"experiments\ldm\agglomerative\clusters\reduced_data.npy","cluster_output","npy","2031744","1984.1",""
"experiments\ldm\agglomerative\clusters\run_config.json","cluster_output","json","982","1",""
"experiments\ldm\agglomerative\clusters\tuning_log.json","cluster_output","json","245","0.2",""
"experiments\ldm\agglomerative\eval_20260409_231236\cluster_eval.json","evaluation","json","4132","4",""
"experiments\ldm\agglomerative\eval_20260409_231236\eval_summary.json","evaluation","json","3472","3.4",""
"experiments\ldm\agglomerative\eval_20260409_231236\extraction_eval.json","evaluation","json","36202","35.4",""
"experiments\ldm\agglomerative\extraction\extraction_results.csv","extraction_output","csv","1919","1.9","7"
"experiments\ldm\agglomerative\extraction\extraction_results.json","extraction_output","json","5646","5.5",""
"experiments\ldm\agglomerative\extraction\run_config.json","extraction_output","json","985","1",""
"experiments\ldm\hdbscan\clusters\clusters_viz.png","cluster_output","png","199611","194.9",""
"experiments\ldm\hdbscan\clusters\clusters.csv","cluster_output","csv","7379","7.2","62"
"experiments\ldm\hdbscan\clusters\metrics.json","cluster_output","json","561","0.5",""
"experiments\ldm\hdbscan\clusters\reduced_data.npy","cluster_output","npy","2608","2.5",""
"experiments\ldm\hdbscan\clusters\run_config.json","cluster_output","json","933","0.9",""
"experiments\ldm\hdbscan\clusters\tuning_log.json","cluster_output","json","3243","3.2",""
"experiments\ldm\hdbscan\eval_20260409_233935\cluster_eval.json","evaluation","json","3169","3.1",""
"experiments\ldm\hdbscan\eval_20260409_233935\eval_summary.json","evaluation","json","3419","3.3",""
"experiments\ldm\hdbscan\eval_20260409_233935\extraction_eval.json","evaluation","json","23649","23.1",""
"experiments\ldm\hdbscan\extraction\extraction_results.csv","extraction_output","csv","1208","1.2","4"
"experiments\ldm\hdbscan\extraction\extraction_results.json","extraction_output","json","3454","3.4",""
"experiments\ldm\hdbscan\extraction\run_config.json","extraction_output","json","936","0.9",""
"experiments\ldm\kmeans\clusters\clusters_viz.png","cluster_output","png","234285","228.8",""
"experiments\ldm\kmeans\clusters\clusters.csv","cluster_output","csv","6953","6.8","62"
"experiments\ldm\kmeans\clusters\metrics.json","cluster_output","json","1013","1",""
"experiments\ldm\kmeans\clusters\reduced_data.npy","cluster_output","npy","16000","15.6",""
"experiments\ldm\kmeans\clusters\run_config.json","cluster_output","json","886","0.9",""
"experiments\ldm\kmeans\clusters\tuning_log.json","cluster_output","json","673","0.7",""
"experiments\ldm\kmeans\eval_20260409_232057\cluster_eval.json","evaluation","json","5331","5.2",""
"experiments\ldm\kmeans\eval_20260409_232057\eval_summary.json","evaluation","json","3462","3.4",""
"experiments\ldm\kmeans\eval_20260409_232057\extraction_eval.json","evaluation","json","39596","38.7",""
"experiments\ldm\kmeans\extraction\extraction_results.csv","extraction_output","csv","2538","2.5","8"
"experiments\ldm\kmeans\extraction\extraction_results.json","extraction_output","json","8315","8.1",""
"experiments\ldm\kmeans\extraction\run_config.json","extraction_output","json","889","0.9",""
"README.md","readme","md","8537","8.3",""
